cancer,M0_small->M0_large,M0_large->M1_large
coad,3.3824834584169716,1.2131802314522155
brca,-2.331706268091303,-0.3205172504345563
luad,0.46137179684840973,0.2371453086125409
esca,-1.1080835032988163,-3.7095680256554555
stad,3.5862158046428214,-4.08218796095763
prad,-1.4114143895565856,2.6449726383128294
skcm,2.5365148544238503,3.4216457683512878
kirp,1.1558879340779429,2.418868662714915
hnsc,3.6059274219085937,0.020741033812154173
kirc,-0.04280979911088607,2.6647960389208416
lusc,-0.027692120233485194,-3.3257712073130365
lihc,-3.4161532912630665,8.708084683738576
thca,-0.7076341034718231,3.899408289279916
tgct,0.8773309253892749,6.357928601932119
blca,2.0508396371609323,0.07456738718969325
