cancer,M0_small->M0_large,M0_large->M1_large
coad,3.801250541491326,1.05652725070642
brca,1.3089582949557206,2.4444061131617656
luad,-0.49576705036904656,0.05046449604763308
esca,-2.917867590659219,-0.6871255626163616
stad,-2.5404355260941407,5.323058169757056
prad,-1.080405371607677,-0.8007302727522051
skcm,-0.7537265731253205,1.8778907032692813
kirp,3.855322284653924,3.273081637155967
hnsc,3.371497482790102,1.095328328534576
kirc,1.0398346310970827,2.920153190309684
lusc,2.1058441066979694,1.6598355691875615
lihc,3.6683280319991,-1.680116514958103
thca,0.5998790579833938,0.3067332530582399
tgct,0.1457285056977632,-1.3882857198913952
blca,-1.391046317719,-2.056039564182518
