cancer,M0_small->M0_large,M0_large->M1_large
coad,2.9754582277386277,-3.457735603970614
brca,1.8719749939957202,-0.35764148105558713
luad,3.490463645221669,-2.2313227752300953
esca,-0.5492010791510126,0.716490113704539
stad,-0.05437950640424245,3.7332833508393533
prad,4.271961007265755,-1.0009015630807911
skcm,0.3738476047433518,-1.2808494358442821
kirp,0.45560562361985546,1.6860137824987598
hnsc,0.5241029837640726,2.255640119580132
kirc,4.056823851439137,4.475431961383839
lusc,1.9554600206684374,-2.947088703132429
lihc,1.1628455832743438,2.5525123576197344
thca,-0.8108556616503968,1.3269278285643795
tgct,2.184636890882327,0.3333159319107286
blca,-1.608594181669246,-0.16363437448569673
