cancer,M0_small->M0_large,M0_large->M1_large
coad,0.8596207899498389,1.8834268802974674
brca,-2.6959344688613163,-0.5358863436943544
luad,-3.4380304213395383,0.39728984812897816
esca,1.2487261970980899,-2.6048404237006895
stad,4.498125247017867,0.2836203149593449
prad,-1.4397294758417347,0.4317621593419544
skcm,-1.068813952283305,0.24080772541245724
kirp,1.3619238170355181,2.5932662752062527
hnsc,-3.193707144263263,1.3029219921523694
kirc,-0.4625621392503378,-0.20765996293684671
lusc,-0.5942319454480645,1.7003379289786766
lihc,1.1428238505730572,3.6456174686832674
thca,-4.600910987127402,2.1279016229818235
tgct,-1.9298958246655875,4.677455864162892
blca,2.1151781793777698,3.2881937494150364
