cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.753353792293794,-3.1764010460287206
brca,3.4819359192832056,-2.834351914083794
luad,-0.8324086328509522,-3.1898977480544315
esca,-3.278076728007353,0.4844026615091178
stad,-1.4909748005116525,1.9043951707538838
prad,2.434301978017131,2.1606646084140544
skcm,0.36368026967111,-1.404437402242912
kirp,2.478847319860738,0.17811583936760103
hnsc,3.5324322461953366,3.4186097447855692
kirc,2.260917101825004,1.479017042725315
lusc,1.1364324316378793,-1.7351295786051706
lihc,0.43961156405868246,-2.054304533981646
thca,0.43325317107670985,2.0298707339642075
tgct,-0.1648680032847833,1.7445560739766963
blca,-1.2496672697661682,-0.1415338990543741
