cancer,M0_small->M0_large,M0_large->M1_large
coad,2.1355008843022363,1.5376048573946695
brca,-0.7855351905413871,-0.6554027230487526
luad,0.6500973006613384,2.778150126218313
esca,2.797816947578143,-3.6554227863519593
stad,8.600166833164,-2.5150692602251765
prad,0.2803535095984309,-1.0997704966499897
skcm,1.1117994243505904,-1.6977432064770714
hnsc,-6.291812594704184,2.681728091715723
kirc,0.13041737322495608,-0.3193348274432091
lusc,-1.5042113531266184,-0.5396767864777842
lihc,-0.0025322108998235776,0.5842771469957478
thca,-1.8179349540359109,-2.5818020764668583
tgct,-1.5735514089825817,3.6398229455296036
blca,3.260628171248802,4.06288683317741
