cancer,M0_small->M0_large,M0_large->M1_large
coad,1.518870926200772,-2.473297221452303
brca,0.06912893714169696,-1.9983957037688622
luad,-3.5221571687874684,-4.054095421709253
esca,0.05706910381627324,-1.39149872633949
stad,2.1993083798559305,1.3024860319123563
prad,-2.581289243731253,-0.9316522235787481
skcm,-7.302081543338842,0.7696371583248393
kirp,2.271388923794673,-1.400805678344422
hnsc,-3.268394600724639,-0.5584347625479851
kirc,1.054669618343521,0.5443271715403999
lusc,-0.6480285108280712,-0.6447835242350237
lihc,-0.6540161008908215,-1.2877186118548152
thca,-6.015290862366757,-2.347299804503481
tgct,-2.4254909005472514,-1.3940076702757112
blca,2.5863437413866026,3.4351792608023923
