cancer,M0_small->M0_large,M0_large->M1_large
coad,-4.2510242776673985,0.9908092383186574
brca,3.0428948685798334,1.52985108570939
luad,2.8149475372431225,-5.104743248161724
esca,3.493107977602244,1.4554885842979584
stad,-0.41441890149296673,3.458107175920699
prad,-2.871731439542919,-8.070666655625047
skcm,-0.9330366403122508,2.33847749073331
kirp,-0.6855700502835698,2.4677611025540527
hnsc,3.8181425403636275,-3.3826093520020013
kirc,1.3011594905032806,3.030124257152981
lusc,2.6827125815370234,-5.556521632830525
lihc,4.231798532620656,-2.2757184959311987
thca,0.23244916769535784,0.8818628599081464
tgct,0.9032026978107264,-1.827739804762745
blca,-4.034440652502399,0.9069471769217969
