cancer,M0_small->M0_large,M0_large->M1_large
coad,-2.5005526387157113,-2.1909296334536763
luad,-0.6593522243803351,-4.2297640318953045
prad,-5.312858688572209,-0.785077002307006
skcm,0.48041531026447143,-0.03796830907521153
kirp,4.062711791849968,2.2448342059772277
hnsc,4.357092281340762,-3.072140433927646
lusc,-0.09177856315551224,-1.772514883332366
lihc,4.444130898251758,0.04085626774670615
thca,-1.6156164934007962,1.1400048474086997
tgct,2.1983056928382316,-2.701724698222311
blca,0.08951155944432489,-0.05776827292286491
