cancer,M0_small->M0_large,M0_large->M1_large
brca,-3.7686796872110375,-4.44435871812768
luad,-2.5730894942694857,-2.293516340759946
esca,6.693415557181412,-4.247678167036609
stad,-2.3790303067673686,0.6589937145790161
prad,-3.510148153279063,-5.126826355819925
skcm,6.273583450267656,-1.8450059506876386
kirp,0.8293251274567403,2.0525493307993496
hnsc,0.5926014010061179,-0.38930032931003894
kirc,2.0644760181568604,1.5685547141536667
lusc,4.244896570058115,0.1720082364203171
lihc,,1.4041633670315616
thca,-2.668482332974204,0.7908185668316251
tgct,2.584942906523207,0.20425374604985122
blca,2.2283070295075817,-3.2528758755967133
