cancer,M0_small->M0_large,M0_large->M1_large
coad,-2.9109292000746985,1.3899262209143688
brca,2.710052900866486,1.9658051100769631
luad,-3.252835940681385,-0.883638109532896
esca,-0.345914189995125,1.5972994152474227
stad,-0.9964350475992501,-6.26023296215183
prad,0.3207715984273946,0.5630125217511982
skcm,0.6898787896506099,0.0008171680557019424
kirp,0.03422426504440833,1.462206035761971
hnsc,4.24129162196861,-5.2596883538055605
kirc,6.287554189910054,4.381875028133681
lusc,1.108724798291213,-0.06694118431035279
lihc,-0.8742387910079692,1.622265764480891
thca,1.322838320477944,-1.153036170262112
tgct,4.228641083131015,-0.2610937924941841
blca,5.722924696488814,0.9924617403974347
