cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.6165188748158864,2.0901699962866918
brca,1.8155083483872159,2.385357458518192
luad,-1.6845382571483059,-2.3071534669175255
esca,0.60832783120485,1.3818355130096829
stad,1.2479479693779139,0.28080684822066077
prad,-2.895433659999857,1.0175135826375672
skcm,3.937491390059083,0.5872393381142395
kirp,-1.4895937029961068,3.424268322468329
hnsc,3.1915909431860885,-3.1327086880951396
kirc,4.773616859101174,4.384135374117124
lusc,0.7174089167303543,-1.8962733572336488
lihc,-0.5529811076086831,1.3261300155969
thca,-1.370649883458049,1.9045960113383116
tgct,2.2826678226951795,-0.23116963966626253
blca,0.36324862103139033,-0.46948839971603795
