cancer,M0_small->M0_large,M0_large->M1_large
coad,-2.8083745431038882,5.276724298382935
brca,1.7904462719985434,0.56440162675478
luad,-0.11085773964534985,5.820755936298469
esca,3.002734954714086,5.1214500604392175
stad,1.0712979800101354,3.5904355851785734
prad,1.2840860296052852,-1.220501082879525
skcm,-2.5930891312111473,3.1155964415672144
kirp,3.7088865489352196,-1.5402625858984431
hnsc,2.5122511556048632,3.278470904825595
kirc,-1.1952639094162225,1.2468313409173453
lusc,-1.5811218352053198,-4.9668981219001305
lihc,3.771422976521377,-2.21293525794561
thca,-0.37873947655437706,0.11428263950237993
tgct,1.5184558529840113,0.39382358018695085
blca,-6.41667828617135,1.5990921877412725
