cancer,M0_small->M0_large,M0_large->M1_large
coad,2.1372332216588705,-3.189807985175028
brca,-3.42487564579857,-3.0573048545829504
luad,-4.433460738418882,0.48055610070299765
esca,2.5325274048952964,0.22373491381509913
stad,2.1797551994670528,-0.15974090660859455
prad,0.20588795330122736,-1.9503561209890148
skcm,-1.8455422608494756,-0.8842751813535263
kirp,-1.7335628486801693,3.303680837317285
hnsc,0.530338081712438,1.804325678379524
kirc,-2.0372445569660433,0.5649108058248419
lusc,-6.775543545555379,-1.2016824441322633
lihc,6.130694881990866,-2.4264788033193487
thca,-1.1990661059240624,-2.973059382038025
tgct,-3.376759178360058,4.889969971010116
blca,1.348666762791492,1.4516393192026649
