cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.9038415988250473,-4.679866778724415
brca,2.3397250663208893,-3.240509557049429
luad,-1.729298715517822,-3.5445352993395765
esca,1.5756881038715311,-3.60141434417985
stad,3.520452067995318,-2.047081208893661
prad,0.9488049004996506,0.2845311092733107
skcm,-5.527994071173423,3.0785524054828928
kirp,4.102303716223433,-1.1557284824749825
hnsc,-5.372370682422585,1.7422666188900462
kirc,1.4335228806019624,2.755950136000771
lusc,-1.3327057528851591,-1.7524127870614175
lihc,-0.39843584782555286,-0.6506200762266939
thca,-2.3849740079403254,-2.466689052821053
tgct,-0.7147716725494261,-2.0633613323505338
blca,1.2050987320367326,0.6942229778166694
