cancer,M0_small->M0_large,M0_large->M1_large
coad,-2.6811015043910316,3.1463285580560947
brca,-4.273348287270914,-0.7568405071354372
luad,-7.374708574369988,4.374871651779868
esca,0.8181780929337361,2.1351064656694803
stad,3.475542966127396,-0.6737420302158463
prad,-0.7459353706882061,-0.7421596543513305
skcm,0.7371779430812094,1.1952256338270282
kirp,-3.1204480312499268,3.3995045805168225
hnsc,-4.883101237628947,-0.8536544189588422
kirc,3.593228011381967,3.7499250902675847
lusc,3.6300961296763132,1.278362430126871
lihc,-1.2515144474934459,0.9019117052171621
thca,0.4762277714399902,-1.4777261088472393
tgct,-2.119995233296741,1.3245341396139618
blca,-0.8516204711051719,-2.8156987721189326
