cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.3704548592097487,-1.2454662116312099
brca,3.1584787177009335,0.9792676704625093
luad,2.0731444490838546,-2.2400509608084627
esca,-0.007339790048447104,-0.5287905975893772
stad,-0.9515556210733016,-0.5499880852321566
prad,-1.6223362176351543,-0.12181671530400628
skcm,3.4635543392275974,-3.416396108633246
kirp,0.42340051289002767,3.852158614502887
hnsc,0.11991357431025593,-2.005018325674377
kirc,-1.4538122593772698,-0.38065536195399086
lusc,4.75059047227929,-3.122053527624151
lihc,3.6767811009833986,1.2966786370717547
thca,0.16654914941119214,-0.10080946118885765
tgct,1.9091470964955142,2.3502552289582526
blca,0.06952758267129625,-0.6558752789830203
