cancer,M0_small->M0_large,M0_large->M1_large
coad,2.097670416520834,-1.210002146290126
brca,-1.1995801942714095,3.645657855966088
luad,4.5187251474749965,-4.334609182322949
esca,0.06239434942965772,1.4497780293915663
stad,-1.125912130731866,2.031464376725989
prad,-1.5575268676041465,-5.169187380054379
skcm,0.06035818793897193,-2.728087386706385
kirp,0.6504946785432302,3.7593843431420684
hnsc,3.3854043877537983,-6.22679746799322
kirc,7.677206715392556,5.580263838390767
lusc,-0.0935952909117352,-4.027064947657506
lihc,3.0195287691679535,5.088394479727399
thca,-3.939322728796562,4.72464595663523
tgct,4.6298243991710475,-3.8563566169054306
blca,1.8974413532960537,0.39668236419497094
