cancer,M0_small->M0_large,M0_large->M1_large
coad,-3.503550438680524,-0.0769644079305582
brca,5.597099085708509,3.812463743062426
luad,2.494192738020937,2.1103848354787154
esca,1.3873829889381015,-1.8927284961150153
stad,-0.5393582650160629,-0.4948915134827071
prad,-1.685775234458599,-5.630148133326234
skcm,1.4363768021650634,1.012305975155674
hnsc,,0.8864698827025563
kirc,-0.34480084256395527,-0.3474221565378672
lusc,-2.610602016793982,3.0634585875616707
lihc,-1.2211452717451248,-3.685998687065413
thca,0.2742821928569801,-0.07290146166581372
tgct,3.313019817758921,-3.576771654602057
blca,-3.859732745689812,1.8147821669302038
