cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.5853585303836586,3.8223280120208054
brca,0.35903038128411885,-2.6354094713119203
luad,1.1048744393144707,2.121720430493456
esca,-2.7286669189224435,2.670850577918659
stad,0.04777372133652308,-1.9707246539078787
prad,-3.0994983829954377,-0.7792052699141923
skcm,1.895413174166958,-2.0404690488957815
kirp,0.7270849754294041,-4.075589681154281
hnsc,-0.06135999829167958,-3.0486701161031804
kirc,-1.172445909087975,1.4458734874435557
lusc,-0.9591799814393247,-5.047912508917671
lihc,3.089875803405713,-0.7744390132358961
thca,3.386900737943731,1.7776686505517427
tgct,1.1981655378799865,2.6495786732483566
blca,-0.05983227778158446,-0.26609758204284034
