cancer,M0_small->M0_large,M0_large->M1_large
coad,4.700412887509009,0.1812666900035169
luad,9.129290966058178,-2.2803421107778505
esca,3.3877099702283973,-0.6382835633088175
stad,-1.0677097352902374,-2.208508939796663
prad,0.7060509718872137,-0.3997725824015986
skcm,0.32403149773634793,3.285910661314722
kirp,-0.9709475384287443,2.440852952293248
hnsc,1.0204863985364847,1.529449022923502
kirc,2.4407494694140217,-0.4446592285518012
lusc,7.702513032894716,1.7275545938438404
lihc,-1.5746033705084492,-5.580019602148455
thca,7.559890498665949,7.380748647666114
tgct,-1.2390560827843955,-1.029606402193839
blca,-3.99585368776465,-2.2942601414234005
