cancer,M0_small->M0_large,M0_large->M1_large
coad,-3.7061849395790496,-1.4690855123007196
brca,-2.159604833646777,-2.459430450479725
luad,-11.132111385946503,1.808051471544907
esca,-4.662166907784953,-1.7345865129676277
stad,0.39169738581711816,3.381246544598395
prad,-0.6195103780192965,0.17627735022620925
skcm,-3.4916652886863377,-2.5520280506600277
kirp,3.4441363044395508,-0.5028422503972163
hnsc,-4.952892707271599,-2.0059699441786023
kirc,-2.09169122333266,-0.36395318868788556
lusc,-11.76659363797685,-1.5404482848449679
lihc,3.6252860115784946,7.339394959866399
thca,-9.490305149433556,-5.169874631171903
tgct,-0.7664945288825564,-0.5737985682336041
blca,5.652272436420407,3.5730102715211287
